,price
8109,380000
18641,280000
7232,674725
6519,199950
21443,669950
17277,1350000
3614,850000
7627,540000
7919,525000
4389,240000
8594,470000
7908,320000
11355,875000
19407,557000
13637,450000
6208,510000
15904,690000
10178,510000
18709,1230000
5351,766950
11358,615000
18513,482000
14507,430000
15959,620000
10645,350000
13715,766000
821,310950
15101,549950
16989,2190000
18630,797500
7369,190000
21457,525000
8276,616000
1413,706000
4657,886000
5590,463000
13315,350000
8190,955000
19955,850000
14909,875000
21528,715000
14126,557865
1882,320000
19193,585000
17680,710000
12809,235000
19540,1080000
16590,455000
10435,455000
12985,245000
2536,419950
12030,338995
12651,583000
21448,535000
7902,3200000
1099,1570000
17712,475000
17930,623500
20163,261950
15331,223000
17808,245000
19000,375000
11181,276000
18692,425000
2692,542500
5676,1470000
20692,305000
4228,475000
4532,1440000
233,213000
7425,583000
2944,513000
4821,689000
7147,394950
441,196000
11897,810000
16319,255000
3182,249000
17343,420000
13036,840000
8479,332000
21495,600000
7043,390000
19394,525000
21117,525000
5638,560000
16132,610000
10979,299990
16175,1310000
14952,805000
9604,350000
16163,533000
10547,440000
10946,571000
1746,397000
5254,600000
11913,674950
18109,515500
3485,324950
17078,354000
7894,300000
3816,475000
19830,659950
17610,635000
8774,380000
17517,340000
6577,480000
16357,580000
16095,250000
15682,645000
7219,456500
5537,385500
8569,448000
7130,1430000
12279,180000
5054,397500
13531,785000
12770,199950
19831,484950
21420,485000
7271,693000
2140,82500
18189,608000
20653,496000
18324,285000
2443,3280000
8737,490000
20887,410000
476,460000
9677,1140000
1254,600000
6180,639000
2764,420000
9947,210000
695,245000
4337,561500
19311,820000
10644,285000
11328,205000
13066,931000
1525,425000
7920,537000
12367,357000
3260,349950
9234,480000
14917,392500
10216,457500
15086,475000
1576,235000
21264,335900
733,550000
16979,440000
13143,1250000
10595,385000
12253,330000
20280,298000
10055,466500
16054,250000
4336,2130000
21142,294000
3941,577000
3642,554663
21312,353000
8074,522500
11693,250000
21036,900000
17160,275000
2942,325000
7357,269500
15735,437000
20470,950000
8228,437000
12053,617000
16862,649800
14235,489900
9129,304000
7836,323000
18294,440000
1616,370000
15440,526000
9427,665000
17682,275250
2492,195000
9271,780000
1447,5350000
314,1400000
4777,310000
2615,279900
5038,515000
19673,562000
5636,480000
14398,305000
7760,615000
11287,813000
18276,637000
19428,490000
11470,545800
7565,395000
3812,525000
9172,272000
12264,432000
18037,314000
13269,717500
2296,342000
20175,730000
10426,170500
1263,390000
17340,335000
15866,265000
13505,215000
8758,550000
5583,450000
5831,447500
16300,198500
1218,307000
4225,509500
21362,365000
5167,169000
15846,409000
20951,295500
20418,352500
15389,861000
11373,233000
13620,390500
16804,305000
15408,248000
179,330000
14442,532000
12436,592500
12376,599990
6170,340000
5243,890000
19592,335000
10150,339000
3332,340000
10862,575000
5026,464000
11785,372000
3258,380000
6888,350000
5814,338500
548,315000
17456,307000
6156,216600
12233,267000
11511,475000
21286,453000
2449,409900
19316,242000
11445,850000
7774,1150000
20639,405000
14970,169950
6009,587000
15930,392500
17234,1290000
6990,385000
4505,413107
16535,335500
19848,550000
18211,587100
17762,520000
4772,248500
1780,883000
16270,632500
17336,160000
4236,384400
10365,443000
5308,375000
12186,685000
2458,674250
14304,337000
3738,672000
6309,580000
8728,760500
843,330000
2569,267345
15488,509950
1723,350000
15736,447000
11822,400000
11823,249900
21595,400000
20325,362865
15576,1010000
16308,299000
7951,440000
7934,360000
12417,710000
13700,2600000
20527,312500
12702,545000
17376,330000
9148,651000
7292,547000
12196,545000
12618,630000
3541,197000
4143,330600
13834,765000
19132,885000
12546,618080
18425,524000
11468,497000
12469,498000
5905,497000
2852,350000
16822,330000
20987,782900
15878,442500
3984,202000
5366,572650
12969,485000
950,601000
20402,267000
20725,590000
19631,425000
14013,506000
21284,435000
4702,775000
14796,410000
1598,455000
15243,910000
9314,290000
14224,175000
8204,621500
20366,500000
20511,374500
4560,100000
16454,658100
3849,367000
11685,410000
12387,943500
5436,693000
6429,284000
5872,395000
10948,525000
14321,537100
2282,569000
21363,403000
9029,667000
20200,718000
16992,636100
11804,364900
10786,209000
18960,560000
8863,370000
13222,279000
14791,290000
276,450000
13933,349950
17942,342000
18682,770000
2912,738000
1173,850000
4488,673200
13071,475580
13517,940000
10237,382500
10696,300000
16478,220000
3343,425000
11056,650000
8934,855000
6692,385000
8515,312000
7505,390000
4223,550000
3296,550000
14851,235000
1356,690000
1467,400000
10424,1080000
10470,400000
10904,1770000
2312,243000
10073,577500
17330,525000
10879,462500
13355,190000
2885,450000
2801,179500
4824,318000
16243,265000
2486,335000
8001,390000
5812,153000
5767,842000
576,266000
4307,600000
13262,545000
2763,385000
17706,395000
11541,490000
7834,315000
40,625000
15293,535000
3588,432250
16589,439000
13987,625000
5196,792500
4905,572000
7634,416500
2133,239900
11228,468000
8724,479500
5687,241400
8907,290000
11812,315000
2733,700000
14858,249950
20173,462550
13818,435000
4721,630000
10630,400000
4893,310000
16296,248500
19418,565000
20693,380000
12100,290000
4327,330000
11148,165000
13234,602000
10387,265000
4536,554000
16884,320000
6941,280000
1266,340000
18413,1060000
5838,585000
11690,191950
19695,780000
21165,1050000
1308,533000
9608,420000
19935,342500
17921,213000
18400,359000
18456,220000
3679,430000
16758,770000
8059,417000
968,752500
11219,310000
11593,1110000
17058,406000
229,516500
6117,1450000
9092,568000
3379,799950
18364,235000
9700,229950
11492,328500
9318,960000
20654,430100
9872,738000
8779,287000
12061,396500
13585,208950
14331,600000
6007,495000
3677,135000
17615,355300
12610,352450
8673,690000
15097,1210000
10762,600000
7568,320000
7745,250000
7749,440150
4695,354000
18984,137000
11680,400000
7434,630000
371,315000
5484,985000
14649,802500
7171,565000
9879,713000
9680,303000
15967,500000
20292,767450
16741,277500
3798,637000
4877,285000
4555,160000
15779,162500
20107,635000
5827,970000
1170,1150000
4226,486700
2746,726000
14347,475000
10699,375000
18215,525000
1420,389000
20079,399950
19839,318000
19144,435500
4248,725000
4728,530000
766,824000
17043,630000
17213,624950
18751,731781
21196,500000
17934,275000
17915,260000
12511,710000
20180,385000
16490,305000
15062,925000
10509,150000
13316,220000
17415,375000
2294,585000
849,254000
14365,450000
14928,280000
15333,190000
20789,536000
3985,580000
14888,1040000
17095,500000
10179,330000
9895,290000
8366,435000
2966,196000
12996,750000
8046,590000
4910,455000
12944,305000
10285,488500
17919,552000
3716,250000
15079,245000
9984,655000
11684,422500
12718,747000
16282,1310000
1664,662990
15845,539000
4817,349000
10287,166000
9475,165000
2423,808900
18597,329950
12178,480000
12140,1110000
5342,570000
17741,160000
13992,229000
5942,514000
19495,725000
2175,760000
14702,998000
15213,752000
937,253000
7307,555000
13286,337500
12535,567500
4506,400000
1064,550000
9420,275000
17511,199500
16545,631000
7844,169900
19798,326989
413,577500
19840,439000
11081,540000
15909,235000
10613,692500
6144,290000
11311,460000
9067,220000
15396,273000
11461,850000
9333,501000
6608,575575
10093,312500
16079,588000
10799,625000
18055,435000
11930,229000
12778,329900
15799,133000
7715,645000
13225,1650000
16828,540000
8426,290000
14149,433000
21022,730000
16830,170000
18724,410000
12688,230000
18872,380000
14672,285000
8773,510000
7304,335000
12722,287000
3453,1290000
16496,338500
7983,230000
14532,425000
17486,710000
20266,785000
10855,207000
21290,799950
2761,555000
7204,352500
14747,530000
7417,250000
11860,615000
13968,915000
1491,521000
4655,605000
15968,499950
13206,579000
7784,245000
16689,637000
7515,229950
11646,550000
20042,539000
8351,585000
14227,580000
17405,475000
11167,357500
15487,352900
3635,206000
1974,200000
12266,402200
10181,495000
9542,275000
1711,520500
670,460000
12134,460000
8748,305000
7477,679000
2847,306000
3795,680000
9531,1160000
5806,450000
15997,775000
2804,385000
2924,699000
398,378750
19413,349000
8679,300000
13232,559000
7658,1270000
20408,1290000
16853,558000
12518,625000
15365,1220000
18274,556000
14959,385000
15765,546000
5447,1780000
7073,481000
7117,750000
11833,199950
14434,410000
7348,304000
8666,1090000
10015,455000
14185,473600
7395,183500
17307,190000
21095,315000
19348,450000
13333,349000
7870,354901
9052,354950
2708,545000
20273,324950
5609,242500
18679,537000
907,550000
18333,280000
13856,318000
20443,950000
9888,335000
4114,340000
17358,390000
21289,465000
10453,290000
17598,245000
12877,340000
14583,706000
2903,769000
12314,330000
20247,834995
19855,625250
9635,608095
1753,1040000
15160,370000
15228,340000
6628,330000
9715,680000
9146,563000
19424,289950
10709,260000
10760,720000
13365,450000
17360,499900
17494,248500
5678,286000
6693,769000
20686,564950
20959,1240000
14280,469950
7378,585000
10263,125000
20068,478000
7838,550000
669,1250000
18541,1120000
16806,607500
6439,517500
19887,432500
15395,650000
10682,460000
12143,375000
21219,469950
7460,305000
6978,1160000
6391,170000
5665,1160000
5345,386591
14370,519000
8714,324000
7703,592500
9852,960000
10838,599000
17927,424000
14638,295000
18279,895990
5320,210000
8789,492000
602,185000
5731,990400
11028,1130000
11977,330000
17650,340000
13057,252000
4239,514000
13984,370000
10574,266200
20565,250000
2477,275000
2076,417000
15284,640500
11259,1400000
21499,505000
6738,495000
4061,383000
9201,465500
19354,299000
17999,700000
20218,461500
1169,900000
14775,255000
13357,610000
7123,630000
7261,415000
9026,770000
4273,242150
2251,340000
21317,333000
8695,249000
18348,337000
5644,489000
17060,415000
1549,355000
7610,285000
7966,350000
4519,575000
6209,299950
4663,324000
10327,750000
1392,490000
12272,471000
15801,294450
7538,625000
13304,1150000
17567,415000
9500,490000
7858,653450
21161,775000
18119,475000
17211,620000
12055,140000
15407,175000
675,497000
6018,390000
20481,399000
15328,425000
5673,329000
16106,329990
11531,950000
4802,224975
15412,279000
4911,925000
11472,195000
3649,695000
830,595000
16956,489000
9965,230000
18240,539000
7063,1040000
10393,406500
16358,468000
17888,778000
15461,915000
15975,436000
16934,615000
10566,280000
6950,588000
20961,888990
20081,335000
5022,576000
14736,765000
2922,350000
17700,410000
5062,670000
14203,403000
15829,1340000
15186,975000
2916,372000
17024,875000
15772,525000
11652,255000
11697,265000
1330,515000
2488,353000
18472,529000
400,557000
11351,198400
15705,295000
19758,540000
1085,550000
19920,339990
15869,827235
4987,385000
11417,299900
14895,263950
15033,484000
20269,380000
18293,276500
20398,565000
16994,298000
13604,310000
20332,400200
10637,883000
13368,810000
18658,383000
11498,1070000
3273,153503
2707,610000
15809,784000
12787,395000
9613,473000
17276,2250000
1587,443500
4571,319000
4362,639000
18762,813000
20413,262000
9284,270000
14804,660000
2354,1190000
15972,274950
36,550000
21081,277950
2651,872000
20143,970000
18871,562000
8654,255000
14175,2230000
13973,481203
10089,1330000
2136,251700
3218,234000
10051,652500
3627,566000
16010,300000
20958,370950
6386,1440000
11550,808250
8409,212000
15266,772500
13275,600000
10250,305000
15537,470000
6441,286285
1878,835000
15999,392500
365,465000
11894,280500
18237,395000
17388,550000
14082,493000
15280,635250
17696,349950
19527,252500
13472,375000
1351,585000
3601,625000
4569,549900
9945,1250000
3277,625000
6057,199000
18471,330000
3389,314900
3530,310000
1812,450000
7946,585000
8943,626100
20845,375000
9386,344900
18050,457000
9377,403000
16577,326000
19133,352500
8303,317000
16220,254000
18787,650000
14376,335000
7883,425000
3893,385000
3980,735000
6049,762500
20458,479349
14934,839000
3276,843500
584,268500
17531,336900
12559,990000
14758,550000
8104,440000
302,576000
12931,310000
4962,482000
12749,544950
20929,294500
20971,300000
13822,575000
12274,1960000
7152,443500
6630,612000
11425,250000
3288,295000
11315,314950
21347,472000
4844,440000
7126,361000
18786,361000
16532,592100
9910,337900
4729,545000
14592,449000
19169,279000
4082,555750
10755,240000
7329,483000
263,425000
10506,420000
18822,355000
12075,338000
12010,1100000
2986,392000
592,290000
19312,887000
8936,852600
20551,350000
7534,809000
21038,1080000
13738,491300
17804,600000
16107,393500
19909,452950
7326,340500
21388,325000
16074,325000
18576,732500
8716,237500
1311,537250
15439,590000
12837,339950
1689,576000
15795,336000
15045,360000
16866,469000
9614,698000
4776,660000
5641,980000
4558,185000
7119,378500
11387,299880
10284,254000
10811,325000
12447,397500
6845,775000
4296,248000
10230,257000
5821,265000
19628,493000
11113,632500
18309,243950
8629,175000
457,705000
524,275000
21416,700000
18483,301000
21552,710200
1399,292000
3919,431500
280,304900
7387,584999
3162,480000
18196,2370000
6850,450000
21155,855000
1594,900000
2726,779000
15888,994000
9688,1390000
14255,229000
3956,460000
974,648000
12524,575000
12309,259500
13958,267800
17645,820000
18961,955000
16178,264500
10049,620000
10330,661500
16302,336500
12676,260000
18232,464000
16367,189000
1045,465000
10095,511000
15121,635000
10366,276200
11817,397000
21294,580000
18815,1680000
11134,215000
4430,320000
15907,299250
12017,536650
10978,355000
9662,357000
21271,319000
21133,659950
8843,565000
15504,365000
10252,490000
18147,315000
15406,375000
6331,1970000
14937,440000
7981,1290000
9986,279000
15824,1300000
11399,568000
8108,560000
19471,299000
3424,515000
10267,728725
17209,760000
17997,550000
8800,1050000
1833,189650
7861,615000
14308,317500
20963,268000
18363,952500
7392,560000
17265,220000
10980,1130000
6597,290000
14793,330000
12647,1270000
19760,328000
12226,820000
10909,442500
2531,537000
6933,612000
5031,235000
333,640000
4804,437500
11769,460000
2657,500000
13551,500000
3748,416000
11724,295000
3173,520000
18938,559000
16261,185000
2468,290000
9768,375000
4146,4000000
18034,363000
544,375000
6024,975000
16368,629950
228,235000
8574,510000
6081,1000000
18124,550000
15653,402000
20399,529950
2165,265000
17105,360000
10236,355000
841,320000
14020,2890000
14417,980000
9724,255000
9795,305000
18086,828000
4109,441000
3398,542126
6989,325000
3436,1100000
4621,399950
18236,740000
1646,450000
11093,300000
181,470000
13989,575000
14868,630000
4121,277500
19251,391500
14566,505000
17605,226500
311,201000
16411,558000
11446,496700
14432,212625
16027,389950
13520,229999
7286,353000
17759,187000
13345,530000
672,664000
20166,610000
11194,471000
3868,2950000
21296,2350000
10184,260000
10959,535000
241,210000
14663,696500
1994,307000
19523,590000
8203,579000
13054,542500
16695,255000
19928,455000
6661,455000
2900,311000
5172,195000
19614,504200
10312,925000
13153,1250000
13081,915000
17002,482000
14157,619000
17449,622200
4661,405000
13679,362764
19934,859990
260,780000
11784,275000
8450,315000
4361,318000
5562,530000
652,325000
19774,349900
14898,380000
19650,275000
20902,525000
15990,450000
8582,775000
12244,465000
7576,678940
17898,600000
7156,660000
3350,1100000
17765,382000
20645,398096
15260,518000
19451,835000
3502,425000
765,560000
9470,423500
18265,625000
11451,475000
9317,551000
2969,483000
4767,196900
5117,215000
10809,318000
4081,220000
14067,714000
5628,604700
8710,445000
20450,432500
409,840000
11990,832500
11820,1790000
20833,475000
4444,825000
19426,505000
473,1150000
16938,730000
8237,675000
16451,416000
7001,870000
337,791500
17433,750000
8925,273000
13751,102500
8388,582000
9145,525000
11664,1730000
12521,740000
895,980000
7852,582000
11546,530000
15466,802000
9244,660000
17492,300000
463,359500
11046,399000
10024,228000
13848,199900
8038,480000
18715,192500
8169,1630000
14074,450000
9240,240000
15091,490000
6289,236000
5266,620000
2597,259000
7556,258900
16206,1490000
7224,425000
8105,625000
6552,234000
13781,705000
13757,505000
3063,490000
20035,580000
16005,640000
14944,650000
7023,567000
14623,640000
9094,675000
8317,360000
1762,597326
19137,476000
19278,675000
11740,447000
4872,498800
12453,815000
21318,245000
17600,630000
15965,1190000
18022,585000
14864,419000
16326,540000
1410,750000
9968,370000
5710,565000
6698,235000
5199,675000
19269,295000
12579,469775
9821,435000
5776,550000
19834,1710000
14834,289000
6442,474905
17769,460000
12823,599000
7445,597000
10110,280000
4004,235000
3304,430000
12459,850000
1515,270000
5420,835000
14707,424000
322,230000
3092,348000
19507,425000
4874,1150000
18445,455000
5526,260000
13938,790000
10529,384950
8179,459500
18983,449999
7000,368000
13450,475999
21341,928990
19131,235000
17439,465000
17300,1740000
16787,554000
11626,299999
9838,304000
16291,365000
18750,389000
16138,555000
6392,178000
3668,590000
5250,349000
19187,464950
6592,715000
4463,415000
13320,305000
9611,730000
20044,325000
20807,837000
12146,667000
7631,190000
3431,550000
5751,1500000
13930,754000
13578,399000
3740,312500
12171,240000
3382,2540000
20114,675000
3743,320000
2959,474000
17570,616000
5989,519000
7810,745000
17847,430000
2176,1090000
12468,275000
15118,937750
20889,335000
20547,485230
18334,625000
5485,751305
20152,1050000
19207,640000
19859,320000
2046,528000
19963,1180000
10748,850000
8260,350000
11676,1140000
9182,139000
13872,599950
16108,1550000
13230,410000
8311,725000
6984,594000
13492,780000
7140,410000
17279,624900
8028,184000
8741,275000
11893,655000
20124,734000
16579,620000
6328,430000
238,800000
6936,225000
4221,271500
6911,428040
5477,725000
18911,716125
14715,378510
7912,795000
3523,1580000
15148,310000
10038,362362
18736,255000
21072,424950
20975,580000
1329,567000
12641,1850000
20417,339989
16603,665000
16914,501000
20934,605000
6876,810000
20331,1390000
16068,230000
6323,935000
20922,405000
5020,1060000
1448,180000
10898,650500
17181,335000
13090,438800
4183,360000
13598,447500
2147,670950
7588,460000
21562,3570000
1024,315000
13112,319950
18474,365000
14445,1120000
21377,269950
16402,322968
20315,309620
18722,325000
9711,638000
4387,527550
18618,1330000
1194,632000
14412,500000
12024,1260000
17569,220000
17745,445000
14628,1440000
17201,197000
12937,206000
3090,2290000
14764,655000
14653,454800
4609,240000
399,269900
16381,926250
8183,165000
12834,799950
17553,417500
3281,855000
19028,707000
13282,510000
1435,480000
9297,224000
21190,1060000
4592,390000
16673,255000
11832,240000
11034,751000
7332,599950
11260,619000
19355,530000
14226,675000
10183,716528
4673,949880
21576,1220000
14012,380000
5491,426500
7941,441500
14078,335000
8808,353750
19893,802945
15872,300499
12208,1450000
20019,580000
676,280000
2854,582000
2756,230000
1493,425000
13062,155000
17640,350000
16011,532000
10555,195000
1234,435000
9636,550000
18892,400000
17953,395000
20966,495000
21360,705000
1273,320000
2971,435000
20355,1800000
3643,267000
1975,830000
2214,1030000
14593,925000
16916,734950
8089,525000
12021,240000
13396,538000
3762,750000
571,720000
15808,172500
20455,664950
13444,432000
13552,423500
19886,288790
13503,850000
9707,937500
13947,420000
15928,200500
14728,270000
10695,375000
13746,86500
19648,405000
15305,493000
16886,760000
21371,392000
6464,550000
14671,1300000
6231,994000
13978,1230000
9120,190000
20764,555000
17112,770000
19981,279000
3872,387000
3469,355000
10014,238000
12721,575000
18085,689000
12596,730000
8039,420000
6419,445000
15754,525000
13905,270000
16668,598800
8713,364988
17447,1870000
20502,319950
13685,300000
6355,670000
17540,515000
1748,300000
17601,320000
10241,395000
2185,275000
6624,850000
15960,345000
17187,212000
2258,390000
7720,458000
12668,335000
1185,235000
5053,600000
3924,635000
19995,547500
7068,354900
5332,559000
9989,640000
8017,425000
15764,894400
2505,753888
4214,285000
21352,370000
21086,712198
11321,619500
15815,280000
6048,730000
12538,608000
4990,637000
1572,525000
383,560000
21178,675900
995,199950
3200,255000
9693,462000
16802,150000
2783,340000
6051,270000
2936,254600
11077,315000
206,677900
8740,233000
14026,257500
2642,305000
18519,393000
4825,404000
15044,1080000
8448,340000
9224,230000
15877,370000
14011,170000
6184,675000
15886,350000
3657,337500
3886,341500
13541,528000
19949,801000
3369,750000
9060,665000
14519,325000
21212,235000
15114,690000
6255,750000
8457,246000
9058,842000
13152,310000
11696,310000
13168,225000
20859,375000
6704,455000
10207,515000
4652,390000
13161,425000
7584,367500
14776,250000
4512,285000
6381,850000
3055,575000
5955,510000
1144,252500
19950,711000
8886,440000
7887,243000
5552,578888
7957,420000
794,210000
21277,480000
16570,1350000
3470,275000
289,500000
6099,464950
13687,818500
2698,250000
5663,1200000
16199,260000
18275,1860000
16076,650000
9619,201000
2054,349000
20783,450000
4618,800000
10741,699950
15252,1680000
12012,289500
3710,421000
366,673000
3165,700000
11050,1000000
18543,2950000
15563,611000
17246,552000
12862,3100000
20739,775000
14643,475000
19824,379900
5960,807000
13881,374000
7979,141800
10270,405000
7599,445800
2821,459950
2435,360000
14355,230000
5575,485000
17094,233000
17622,425000
12320,895000
10999,190000
13391,452000
10567,440000
9229,500000
21393,330000
11849,700000
18824,202500
16103,616950
19156,393000
9274,406000
8335,235000
2134,185000
15641,419950
14475,248500
9087,425000
103,1090000
20100,520000
15951,180000
7989,305000
43,685000
6647,176000
20601,375000
17559,270000
17333,475000
386,365500
18883,850000
5652,1020000
2159,440000
15780,400000
4940,625000
3098,247500
18328,470000
14694,315000
5693,559000
9864,720000
8635,380000
10484,425000
18886,682000
12598,589500
19636,155000
14050,397950
9927,380000
7384,292500
18533,235000
5376,695000
5780,739375
16761,1920000
16709,685000
20381,395000
11043,398000
18697,280000
2040,340000
6164,435000
14015,449950
1668,396000
18656,495000
10286,260000
15319,520000
16442,760000
4301,325000
16582,1310000
7314,970000
15552,750000
6344,440000
14284,396500
443,350000
15239,439800
8896,650000
19990,718000
1552,299000
16890,474950
15381,551100
18941,259000
15573,310000
10886,297262
20897,526000
9458,352000
10448,654300
3788,775000
7036,430000
6795,375000
21251,567500
13794,253200
11885,672500
17505,380000
9812,124000
20983,699000
3213,650000
12663,425000
15583,1120000
2516,166000
18545,269000
939,565000
15979,765000
15143,735000
3211,505000
5016,798750
9585,476100
18428,330000
17753,410000
4083,262500
7641,275000
9702,348000
6925,569000
10232,899000
14253,775000
15391,246000
20274,436472
16314,261350
12817,870000
7857,330000
20056,524000
250,260000
13012,585000
12768,316000
11648,665000
2406,968933
20630,418000
14765,472500
458,578000
4243,425000
432,1000000
6232,275000
16363,175000
8804,750000
17271,529000
10660,245000
20916,490000
15152,412000
17562,680000
14490,171500
2215,327000
1854,315000
686,320000
20360,494815
8359,414500
20085,368000
6466,320000
19146,252000
9249,811500
1659,490000
14594,570000
13555,635000
7643,345000
16389,578000
11570,185000
13949,518000
5207,895000
17902,291750
16704,184900
9514,615000
4578,1050000
9870,1740000
4138,545000
5184,525000
1168,274700
14159,321500
15623,265000
13931,269950
11356,317000
20115,899900
1551,265900
12165,626000
9640,554990
21459,1750000
18379,790000
11722,215000
4632,2490000
4972,625000
7916,635000
1735,379500
15164,350000
19888,615000
6627,340000
5858,295000
4265,2400000
1495,340000
13084,460000
18581,1140000
3584,310000
17817,477000
18977,550000
5934,515000
954,550000
1571,776500
13123,906000
67,287000
11848,425000
12952,388500
10021,755000
7732,817500
20286,306000
11122,394950
19061,447000
3620,525000
5969,315000
7048,940000
558,750000
376,450000
18342,545000
19835,535000
17426,325000
9544,435000
3714,157340
11473,1130000
14576,314950
16702,85000
6886,235000
13688,249000
9885,784950
4404,270000
10386,518000
21438,315000
6447,259000
17448,219500
17327,455600
19095,980000
5137,320000
12667,355000
20698,600000
20556,579000
17084,525000
7900,371000
1063,275000
6001,300000
6582,284900
9293,400000
6258,675000
5305,535000
18896,234000
12060,404500
5382,214000
13294,271000
16320,257000
327,740000
17947,185000
10864,291000
8806,580000
13417,520000
7318,435000
21447,518000
7821,299000
630,218000
9541,417000
16882,986000
11715,306000
13724,910000
20724,1140000
9856,450000
5228,438500
2082,800000
12358,380000
9121,862500
7427,2580000
309,665000
11828,1600000
12267,650000
20540,416286
7128,445000
7527,380000
2053,297000
3724,375000
1942,284200
5650,152000
17933,330000
16116,367500
8859,205950
9227,169100
11816,335000
11112,375000
3942,480000
14043,661000
3896,418800
18033,345000
12063,605000
16610,675000
367,810000
3707,361000
17208,417500
15998,540000
16919,610000
18071,770000
11927,875909
20075,355000
15621,2270000
19787,395000
19444,190000
11310,729000
21003,550000
16263,270000
16331,1050000
34,322500
15731,295000
13554,299000
7082,263000
712,639000
9308,209950
6130,350000
8081,650000
3479,595000
16690,704000
6340,505000
4411,335000
13032,570000
13082,482500
3583,1600000
5854,219900
14762,179000
7571,300000
3786,533250
5820,386000
136,220000
5402,459900
18829,330000
15751,500000
2333,264900
12117,247000
21409,535000
1532,935000
2929,295000
7911,443750
2489,540000
4465,925000
20605,955000
2494,660000
17451,465000
13917,383000
6292,535000
15371,500000
15110,351000
526,650000
509,1490000
11099,1110000
19552,491500
1452,235867
18611,595888
20843,555000
11354,870000
1764,390000
2576,231500
11318,313000
18774,900000
4942,312500
16,395000
12383,335000
4951,450000
15460,400000
10173,357000
10016,230000
18053,220000
3324,569000
6146,300000
12497,485000
14054,357500
2781,375000
1446,290000
6965,447500
18020,199000
7696,345000
6695,303500
7242,428900
11611,2800000
495,490000
7277,600000
19536,460000
13162,490000
4388,399000
20914,287000
10390,433000
20530,455000
9829,491000
14049,535610
20036,379900
8427,235000
16159,960000
9298,1080000
4320,455000
1015,520000
12973,490000
16248,1250000
1717,442500
19793,449950
7213,500007
20219,2150000
14751,530000
18323,475000
10281,485000
12382,385000
18005,477500
4394,551000
14563,165000
13609,427500
7769,440000
19956,600000
20322,356250
215,280000
9456,398500
13764,610000
18573,195000
6314,250000
21553,690000
18095,330000
4899,259950
15691,500000
7007,149000
16280,495000
18840,475000
14032,257000
15649,710000
1162,482500
8707,361000
8649,440000
12384,347000
14578,1050000
13037,469000
11667,1420000
7746,725000
12167,289000
10256,635000
7794,875000
12070,216300
9496,435000
3770,899000
21247,870000
10810,311300
19919,360000
1625,169317
12119,306888
10004,491000
10874,255000
7158,482500
17467,240000
13025,300000
11357,325000
1213,500000
12964,625000
331,279000
5782,1010000
11513,650000
10137,596500
39,605000
9153,295000
14894,625000
17123,146000
7176,249000
19035,365000
21287,612995
20053,633000
17678,1360000
19680,340000
4968,528000
7782,365000
5188,650000
7744,472000
1875,850000
19127,430000
17305,451000
6780,700000
17459,650500
13172,600000
21598,325000
21061,586500
4256,210000
14416,354950
13595,610000
14567,335750
15063,759000
14998,1110000
3134,390000
11193,443500
960,385000
9565,274000
9193,250000
10606,652000
147,430000
20168,536751
14596,1000000
15534,375000
15095,525000
17135,805000
6481,710000
21094,520000
18180,345000
214,477000
259,693000
6218,650000
10314,495000
12347,643002
19017,482000
16662,645000
17813,425000
17981,410000
2376,437000
7137,320000
9306,790000
3658,440000
19342,370000
14029,622000
17230,629950
404,322500
7087,485000
1815,587500
2860,443000
13857,910000
3328,253000
8232,250000
11509,420000
14953,730000
8970,398000
6097,495000
20069,388000
6594,370000
11729,700000
13600,565000
13233,575000
15084,500000
10704,655000
20265,415000
11710,590000
21478,400000
904,530000
16924,397000
4704,336000
10632,440000
3229,965000
11692,523000
14165,400000
19862,995500
17886,430000
18226,750000
7468,325000
20047,700000
11184,260000
3107,89950
2179,488000
9709,489000
19498,246500
6939,650000
21414,365000
14808,373500
10409,242500
11839,746000
16039,315450
13241,500000
5996,461000
11305,383000
4991,692500
8021,325000
37,640000
13802,325000
15122,245500
14415,465000
6305,760000
10075,1230000
1904,548800
8680,700000
3363,406000
1767,1180000
8422,420000
17132,465000
21288,540000
9106,660000
20463,355000
6664,523000
12428,550000
13367,599950
1542,860000
3035,310000
1233,250275
10101,920000
13170,335000
1109,285167
6834,508000
931,288349
21049,487000
12290,345000
20375,390000
14124,459000
9508,812500
19185,699999
1279,445000
2497,207500
3918,1210000
20696,459000
12831,349000
4980,570000
16072,465000
6557,1340000
4066,405000
86,305000
4379,450000
1793,950000
1738,600000
975,469500
2705,383000
6997,2180000
13817,339100
5830,789900
11780,218000
451,333500
16697,520000
15029,200000
17004,760369
18368,419995
7824,210000
7038,475000
11272,710000
9382,201500
513,290000
10965,400000
17353,826000
19528,530000
15857,570000
18344,299950
7339,922000
21221,679990
19361,330000
15060,645000
1490,420000
5468,372500
1906,590000
19274,316000
20494,394950
18676,464050
18670,570000
20608,779380
21106,820875
12187,486000
6408,750000
6427,354500
725,320000
3463,200000
11007,436500
3317,921000
11586,402000
18378,230000
10127,505000
17324,600000
7625,507200
18112,253400
10968,1250000
9915,650000
667,655000
5515,285000
9356,550000
12720,577288
1065,140000
20835,329950
16237,925000
11397,387500
16613,1200000
9988,533000
18672,1050000
16085,450000
9130,560000
12043,700000
11104,425000
16409,424950
16870,524000
14529,615000
9412,400000
12166,490000
11478,339000
